Country,a,b,n,index
AD,0.20364934444951763,53.38425609352011,8.0,0.0055225197396465975
AE,1.2036493444495175,230.3842560935201,186.0,0.0035379701431865794
AT,0.20364934444951763,1551.3842560935202,1506.0,0.00017929157352740524
AU,0.20364934444951763,91.38425609352011,46.0,0.003182838223088033
BE,1.2036493444495175,545.3842560935201,501.0,0.0015240765172908224
BE*,1.3875089579209536,1036.4123888863687,928.0,0.0008682304405459299
BG*,15.387508957920954,4773.412388886369,4679.0,0.0017160672287560123
CA,0.20364934444951763,212.3842560935201,167.0,0.0013259195266723414
CH,4.203649344449517,1660.3842560935202,1619.0,0.0014204812824085567
CN,0.20364934444951763,94.38425609352011,49.0,0.003065521655570362
CU,0.20364934444951763,50.38425609352011,5.0,0.005846350931610153
CY,8.203649344449518,2300.38425609352,2263.0,0.0019288658521270853
CZ,4.203649344449517,4334.38425609352,4293.0,0.0005447608308590433
DE,29.203649344449516,9474.38425609352,9458.0,0.0016293127836817453
DK,4.203649344449517,1859.3842560935202,1818.0,0.0012739304247884951
DO,0.20364934444951763,60.38425609352011,15.0,0.004795850688258584
DZ,0.20364934444951763,269.3842560935201,224.0,0.0010947933640267072
EE,0.20364934444951763,192.3842560935201,147.0,0.001492903353390034
ES,2.2036493444495178,188.3842560935201,145.0,0.00707288832426218
ES*,6.387508957920954,421.41238888636866,318.0,0.00815740129629261
FI,2.2036493444495178,404.3842560935201,361.0,0.003276765996764668
FR,12.203649344449518,7541.38425609352,7508.0,0.0008673140508785763
FR_IDF,14.203649344449518,3546.38425609352,3515.0,0.0021293795312443404
FR_TA,6.203649344449517,162.3842560935201,123.0,0.02023559394526947
GB,21.203649344449516,7640.38425609352,7616.0,0.0014726276651663257
GE,1.2036493444495175,474.3842560935201,430.0,0.001746821783935443
GR,8.203649344449518,2714.38425609352,2677.0,0.001635892879983819
GY,0.20364934444951763,56.38425609352011,11.0,0.005232679795254277
HU,13.203649344449518,664.3842560935201,632.0,0.01043490438662322
ID,0.20364934444951763,184.3842560935201,139.0,0.0015319988607026065
IE,0.20364934444951763,284.3842560935201,239.0,0.000996974138595748
IT,12.203649344449518,3548.38425609352,3515.0,0.001838764828587211
JM,0.20364934444951763,49.38425609352011,4.0,0.0058918009952250985
JP,0.20364934444951763,59.38425609352011,14.0,0.004782300547924814
KR,0.20364934444951763,54.38425609352011,9.0,0.005422403491100174
LB,1.2036493444495175,136.3842560935201,92.0,0.005983084740030284
LT,10.203649344449518,216.3842560935201,181.0,0.02421005587888548
LU,11.203649344449518,425.3842560935201,391.0,0.013732836649645556
LV,0.20364934444951763,135.3842560935201,90.0,0.0020875733891167992
MA,0.20364934444951763,69.38425609352011,24.0,0.004156235010698733
MC,0.20364934444951763,317.3842560935201,272.0,0.0008588909869497752
ME,0.20364934444951763,177.3842560935201,132.0,0.0016293293131334633
MN,0.20364934444951763,46.38425609352011,1.0,0.006342212600289931
MT*,0.3875089579209536,426.41238888636866,317.0,0.0009230498028843309
NL,0.20364934444951763,45.38425609352011,0.0,0.00281542930501063
NL*,10.387508957920954,6537.412388886369,6438.0,0.0008556275712198256
NO,1.2036493444495175,633.3842560935201,589.0,0.0012918742753751135
NZ,0.20364934444951763,51.38425609352011,6.0,0.005734268367250003
PL,11.203649344449518,2656.38425609352,2622.0,0.0022568742107537862
PT,0.20364934444951763,432.3842560935201,387.0,0.0006639031160394558
RO*,0.3875089579209536,1889.4123888863687,1780.0,0.0002038375337848979
RW,0.20364934444951763,47.38425609352011,2.0,0.006210525325154503
SE,2.2036493444495178,258.3842560935201,215.0,0.00517741369257503
SE*,0.3875089579209536,561.4123888863686,452.0,0.0006647844367277098
SI,2.2036493444495178,2179.38425609352,2136.0,0.0006088731763065054
SK,1.2036493444495175,314.3842560935201,270.0,0.00259695762819218
SM,0.20364934444951763,68.38425609352011,23.0,0.0041801592557741485
TH,0.20364934444951763,62.38425609352011,17.0,0.004646787065671179
TN,0.20364934444951763,178.3842560935201,133.0,0.0015439094961028055
US,1.2036493444495175,595.3842560935201,551.0,0.0013582988077830247
UY,0.20364934444951763,48.38425609352011,3.0,0.006084195382175539
VA,0.20364934444951763,60.38425609352011,15.0,0.004795850688258584
